,0,1,2
80,r3kBnr/p6p/1ppp1q2/2n1Npp1/3P4/1PP1Pb1N/PQ3PPP/R3KB1R b KQ - 0 16,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
81,r3kBnr/p6p/1ppp1q2/2n1Nppb/3P4/1PP1P2N/PQ3PPP/R3KB1R w KQ - 1 17,[],-1
82,r3kBnr/p6p/1ppp1q2/2n1Nppb/3P2P1/1PP1P2N/PQ3P1P/R3KB1R b KQ - 0 17,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
83,r3kBnr/p3q2p/1ppp4/2n1Nppb/3P2P1/1PP1P2N/PQ3P1P/R3KB1R w KQ - 1 18,[],-1
84,r3kBnr/p3q2p/1ppp4/2n1Nppb/3P2P1/1PP1P2N/PQ3P1P/2KR1B1R b - - 2 18,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
85,r3kBnr/p3q3/1ppp3p/2n1Nppb/3P2P1/1PP1P2N/PQ3P1P/2KR1B1R w - - 0 19,[],-1
86,r3kBnr/p2Nq3/1ppp3p/2n2ppb/3P2P1/1PP1P2N/PQ3P1P/2KR1B1R b - - 1 19,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
87,r3kBnr/p2Nq3/1ppp3p/2n3pb/3P2p1/1PP1P2N/PQ3P1P/2KR1B1R w - - 0 20,[],-1
88,r3kBnr/p2Nq3/1ppp3p/2n3pb/3P2p1/1PP1P2N/PQK2P1P/3R1B1R b - - 1 20,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
89,r3kBnr/p2N4/1ppp3p/2n3pb/3Pq1p1/1PP1P2N/PQK2P1P/3R1B1R w - - 2 21,[],-1
